id,name,address,city,post_code,gmina,powiat,wojewodztwo
1,"""AQUA"" S. A. Oczyszczalnia Ścieków", ul. Bestwińska 63,Bielsko-Biała,43-300,m. Bielsko-Biała,Bielsko-Biała,śląskie
2,"""Acherówka""", ul. Walerego Sławka 2,Warszawa,02-495,Ursus,Warszawa,mazowieckie
3,"""Aqua Żyrardów""", ul. Rotmistrza Witolda Pileckiego 25/27,Żyrardów,96-300,m. Żyrardów,żyrardowski,mazowieckie
4,"""Bajkowe"" Przedszkole Publiczne Nr 8", ul. Kardynała Stefana Wyszyńskiego 31,Police,72-010,gm. Police,policki,zachodniopomorskie
5,"""DWOREK NAD WISŁĄ""-budynek ""B""", ul. Wyzwolenia 65,Wisła,43-460,m. Wisła,cieszyński,śląskie
6,"""Dolnośląskie Centrum Zdrowia Psychicznego"" sp. z o. o.", wyb. Józefa Conrada-Korzeniowskiego 18,Wrocław,50-226,m. Wrocław,Wrocław,dolnośląskie
7,"""Dom Kingi"" Klasztor Sióstr Klarysek", ul. Plac Świętej Kingi 1,Stary Sącz,33-340,gm. Stary Sącz,nowosądecki,małopolskie
8,"""Dom Ogrodnika""", Widziszewo ul. Podgórna 2a,Kościan,64-000,gm. Kościan,kościański,wielkopolskie
9,"""Dom Ojca"" Opole-Winów", ul. Prószkowska 196,Opole,45-950,m. Opole,Opole,opolskie
10,"""Dom Polski""-Centrum Idei Rodła", ul. ks. dr. Bolesława Domańskiego 18,Zakrzewo,77-424,gm. Zakrzewo,złotowski,wielkopolskie
11,"""Dom Strażaka"" w Marianowie", ul. Stargardzka 55,Marianowo,73-121,gm. Marianowo,stargardzki,zachodniopomorskie
12,"""Dom nad Stawami"" Dom Pomocy Społecznej w Siedlcach", ul. Księcia Józefa Poniatowskiego 32,Siedlce,08-110,m. Siedlce,Siedlce,mazowieckie
13,"""Dworek"" w Nowej Wsi", ul. Dworska 7,Nowa Wieś,32-651,gm. Kęty,oświęcimski,małopolskie
14,"""Dzienny Dom Senior-Wigor"" (budynek Dworca PKP)", ul. Dworcowa 1,Chodzież,64-800,m. Chodzież,chodzieski,wielkopolskie
