mysql> SELECT * FROM gmina;
+------+-----------------------------+
| id   | name                        |
+------+-----------------------------+
|    1 | m. Bielsko-Bia?a            |
|    2 | Ursus                       |
|    3 | m. ?yrardów                 |
|    4 | gm. Police                  |
|    5 | m. Wis?a                    |
|    6 | m. Wroc?aw                  |
|    7 | gm. Stary S?cz              |
|    8 | gm. Ko?cian                 |
|    9 | m. Opole                    |
|   10 | gm. Zakrzewo                |
|   11 | gm. Marianowo               |
|   12 | m. Siedlce                  |
|   13 | gm. K?ty                    |
|   14 | m. Chodzie?                 |
|   15 | m. ?winouj?cie              |
|   16 | m. Rumia                    |
|   17 | gm. Polkowice               |
|   18 | gm. Józefów                 |
|   19 | gm. Gorzyce                 |
|   20 | m. Kutno                    |
|   21 | gm. Ba?tów                  |
|   22 | gm. Celestynów              |
|   23 | gm. Wielka Nieszawka        |
|   24 | gm. Pilchowice              |
|   25 | m. Gliwice                  |
|   26 | gm. ?wiebodzin              |
|   27 | gm. Olecko                  |
|   28 | m. E?k                      |
|   29 | m. Katowice                 |
|   30 | m. Inowroc?aw               |
|   31 | gm. Pszczyna                |
|   32 | gm. D?bowiec                |
|   33 | gm. Kalwaria Zebrzydowska   |
|   34 | gm. Jarocin                 |
|   35 | gm. Kocza?a                 |
|   36 | gm. Strzy?ów                |
|   37 | gm. Bytów                   |
|   38 | gm. Bukowina Tatrza?ska     |
|   39 | m. Lublin                   |
|   40 | m. Bydgoszcz                |
|   41 | m. ?aga?                    |
|   42 | m. ?ary                     |
|   43 | m. Wa?cz                    |
|   44 | m. Szczecin                 |
|   45 | m. Hel                      |
|   46 | m. ?ód?                     |
|   47 | gm. Busko-Zdrój             |
|   48 | m. Kraków                   |
|   49 | m. D?blin                   |
|   50 | m. Gda?sk                   |
|   51 | Praga-Pó?noc                |
|   52 | m. Olsztyn                  |
|   53 | m. Sanok                    |
|   54 | m. D?browa Górnicza         |
|   55 | m. Bi?goraj                 |
|   56 | m. Jaworzno                 |
|   57 | m. Jelenia Góra             |
|   58 | m. Hrubieszów               |
|   59 | m. ?uków                    |
|   60 | m. Zakopane                 |
|   61 | gm. Radomy?l Wielki         |
|   62 | m. Bia?a Podlaska           |
|   63 | m. Sieradz                  |
|   64 | m. Kalisz                   |
|   65 | m. Elbl?g                   |
|   66 | m. Konin                    |
|   67 | m. Piotrków Trybunalski     |
|   68 | ?oliborz                    |
|   69 | m. Tarnów                   |
|   70 | m. Zamo??                   |
|   71 | m. ?om?a                    |
|   72 | m. Piekary ?l?skie          |
|   73 | m. Terespol                 |
|   74 | gm. Andrychów               |
|   75 | m. Milanówek                |
|   76 | m. Koszalin                 |
|   77 | m. Legionowo                |
|   78 | m. Tarnowskie Góry          |
|   79 | Praga-Po?udnie              |
|   80 | Ursynów                     |
|   81 | m. Cz?stochowa              |
|   82 | gm. Grójec                  |
|   83 | gm. Mi?dzyrzecz             |
|   84 | gm. Turawa                  |
|   85 | m. Ostrów Wielkopolski      |
|   86 | m. Pozna?                   |
|   87 | m. Sosnowiec                |
